Stock,Most Recent Before,Most Recent After,2nd Most Recent Before,2nd Most Recent After,3rd Most Recent Before,3rd Most Recent After,4th Most Recent Before,4th Most Recent After
XOM,XOM,79.9437484741211,79.73605346679688,62.91756057739258,64.04962158203125,55.346012115478516,55.355628967285156,54.238609313964844,55.73576354980469
MA,MA,350.044189453125,381.9798889160156,332.13262939453125,334.61590576171875,387.2729797363281,384.4143371582031,386.95654296875,380.1018981933594
CVX,CVX,129.25296020507812,129.96548461914062,112.00591278076172,112.04505157470703,98.27605438232422,98.10230255126953,98.2891845703125,100.63507080078125
HD,HD,314.2734375,306.5997314453125,388.3703308105469,390.86492919921875,315.9066467285156,316.694580078125,310.3396911621094,308.0862731933594
BAC,BAC,38.849998474121094,39.56999969482422,46.21404266357422,45.527400970458984,44.635868072509766,45.923343658447266,38.28947067260742,38.25991439819336
KO,KO,60.913719177246094,59.83199691772461,54.67424392700195,55.18632507324219,55.27141189575195,55.19321823120117,52.38434982299805,52.54926300048828
ABBV,ABBV,137.4517822265625,139.54400634765625,112.53585815429688,112.67325592041016,112.76838684082031,111.9441909790039,106.92213439941406,109.9715805053711
PFE,PFE,51.70000076293945,51.470001220703125,44.71455001831055,44.09474182128906,42.363224029541016,42.09759521484375,38.570709228515625,38.59001922607422
LLY,LLY,243.79229736328125,241.2628631591797,246.6064910888672,248.32371520996094,253.28294372558594,259.6944274902344,179.489990234375,177.85476684570312
COST,COST,533.0499877929688,525.5,523.5364990234375,557.9743041992188,451.36456298828125,466.28778076171875,385.56585693359375,376.3819580078125
AVGO,AVGO,574.713623046875,591.9868774414062,575.8178100585938,623.448974609375,481.9582214355469,487.6214294433594,451.86883544921875,461.7850341796875
PEP,PEP,167.26983642578125,167.4784698486328,149.0952606201172,152.9141845703125,149.91302490234375,151.46153259277344,138.4635772705078,140.2635955810547
TMO,TMO,603.7918090820312,594.596923828125,611.700927734375,619.4734497070312,527.5164184570312,533.0084838867188,463.4682922363281,469.2967224121094
VZ,VZ,52.26361083984375,50.406227111816406,52.33453369140625,52.1197624206543,53.97781753540039,53.97781753540039,55.46750259399414,54.64703369140625
DIS,DIS,147.22999572753906,152.16000366210938,174.4499969482422,162.11000061035156,179.2899932861328,181.0800018310547,178.33999633789062,173.6999969482422
MRK,MRK,78.31338500976562,77.86734771728516,84.9806900024414,86.4534912109375,74.86418914794922,74.8058090209961,67.83435821533203,68.58929443359375
CSCO,CSCO,53.881019592285156,55.390682220458984,56.043701171875,52.95320129394531,54.088623046875,56.16781997680664,51.10390853881836,51.47401428222656
ABT,ABT,122.63999938964844,123.37000274658203,119.59333038330078,119.96186828613281,122.38877868652344,124.11578369140625,116.91516876220703,119.43638610839844
CMCSA,CMCSA,47.74055862426758,49.44096755981445,51.35445022583008,50.8893928527832,57.246009826660156,57.95530700683594,55.323665618896484,55.07843780517578
ORCL,ORCL,76.351318359375,77.51675415039062,88.09681701660156,101.8517074584961,87.91009521484375,85.43766021728516,80.44328308105469,75.95011901855469
NKE,NKE,130.19000244140625,133.08999633789062,156.6226043701172,166.25064086914062,158.93104553222656,148.98165893554688,132.8374786376953,153.4690704345703
ADBE,ADBE,466.45001220703125,422.8999938964844,566.0900268554688,556.6400146484375,645.8900146484375,626.0800170898438,551.3599853515625,565.5900268554688
DHR,DHR,278.239990234375,264.55999755859375,269.7340393066406,280.8642883300781,310.266845703125,312.90283203125,288.3206481933594,290.62554931640625
INTC,INTC,51.299217224121094,47.686737060546875,55.192813873291016,48.7470817565918,54.79730224609375,51.8988037109375,60.89490509033203,57.654052734375
MCD,MCD,247.3639373779297,254.6732635498047,240.0563201904297,242.7958221435547,237.81300354003906,240.0162811279297,230.08010864257812,230.93109130859375
WFC,WFC,46.349998474121094,47.16999816894531,57.800479888916016,56.43659973144531,44.93397903442383,47.9785041809082,44.3837890625,44.43315505981445
CRM,CRM,208.88999938964844,210.38999938964844,284.9599914550781,251.5,260.8500061035156,267.7900085449219,225.8300018310547,238.10000610351562
UPS,UPS,229.02586364746094,230.4356231689453,215.4325408935547,209.64340209960938,191.8157196044922,188.7201690673828,189.86448669433594,194.01132202148438
BMY,BMY,64.51394653320312,65.70516204833984,55.58906555175781,56.21885681152344,67.087158203125,66.52102661132812,60.93658447265625,60.48118591308594
TMUS,TMUS,109.58000183105469,120.77999877929688,115.80000305175781,121.94000244140625,144.6300048828125,144.02000427246094,128.47999572753906,134.1300048828125
TXN,TXN,172.8155975341797,177.15684509277344,194.48631286621094,184.7313995361328,190.7173614501953,180.57469177246094,185.7352752685547,177.54266357421875
PM,PM,105.05999755859375,102.69000244140625,103.66757202148438,106.51899719238281,93.2416763305664,94.43894958496094,91.27777099609375,92.82583618164062
RTX,RTX,89.8106689453125,88.48802947998047,88.14993286132812,88.14993286132812,86.70020294189453,85.69776916503906,80.89630126953125,81.16006469726562
QCOM,QCOM,187.41818237304688,178.35598754882812,137.38536071777344,154.87600708007812,140.65899658203125,149.1020965576172,134.17771911621094,140.1806640625
MS,MS,84.76000213623047,86.4800033569336,95.06751251220703,99.1391372680664,99.6216812133789,100.73614501953125,90.69119262695312,89.34008026123047
UNP,UNP,244.39999389648438,234.3000030517578,240.89010620117188,245.12933349609375,229.05914306640625,235.3085479736328,216.38119506835938,216.982421875
